"gutenberg_id" "text"
40992 "                             The Martian"
40992 ""
40992 "based upon the Third Prize ($15.00) Winning Plot of the Interplanetary"
40992 "Plot Contest won by Allen Glasser, 1610 University Ave., New York"
40992 ""
40992 "                  By A. R. Hilliard and Allen Glasser"
40992 ""
40992 "[Transcriber's Note: This etext was produced from Wonder Stories"
40992 "Quarterly Winter 1932. Extensive research did not uncover any evidence"
40992 "that the U.S. copyright on this publication was renewed.]"
40992 ""
40992 "[Illustration: The water was evaporated by the ever-shining sun until"
40992 "there was none left for the thirsty plants. Every year more workers died"
40992 "in misery.]"
40992 ""
40992 "       *       *       *       *       *"
40992 ""
40992 "     [Illustration: ALLEN GLASSER who furnished the plot]"
40992 ""
40992 "     [Illustration:A. ROWLEY HILLIARD who wrote the story]"
40992 ""
40992 "     Many writers of science fiction, who have not given the matter much"
40992 "     thought, assume that a man of intelligence from one planet would"
40992 "     meet a cordial and sympathetic welcome on another world. It is"
40992 "     assumed that people are everywhere educated, curious about other"
40992 "     worlds and other cultures, and eager to help a visitor from an"
40992 "     alien race."
40992 ""
40992 "     Unfortunately there is no assurance that such is the case. Even"
40992 "     were the members of another race, on another world possessed of"
40992 "     education, there would be bound to be among them low and brutish"
40992 "     elements. And if a stranger from another world, dazed by new"
40992 "     conditions and unable to make his wants known, were to fall into"
40992 "     their hands his fate might not be happy."
40992 ""
40992 "     We have read no story that pictures with such clarity and insight"
40992 "     the experiences of a man on another world than his own, than does"
40992 "     this present story. With the basis of a splendid plot Mr. Hilliard"
40992 "     has worked up a simply marvelous story."
40992 ""
40992 "       *       *       *       *       *"
40992 ""
40992 "<CHAPTER I."
40992 "Introduction>"
40992 ""
40992 ""
40992 "The rolling, yellow sand reflected the heat of the sun in little,"
40992 "shimmering waves. It reflected the sun's light blindingly throughout all"
40992 "its visible expanse, with the exception of one spot where lay a circular"
40992 "shadow. In the great steely-blue dome of the sky there were no clouds."
40992 ""
40992 "The shadow, although not large, was very dark and distinct. The curved,"
40992 "even line of its circumference was precisely drawn."
40992 ""
40992 "In the air was a persistent rattle of sound--a series of closely spaced"
40992 "explosions, ever rising in intensity."
40992 ""
40992 "Suddenly a small, uneven shadow detached itself from the circular one;"
40992 "and floated swiftly across the sand. The rattling sound increased to a"
40992 "tremendous booming roar, and the large shadow began to fade. At the same"
40992 "time, the smaller one grew steadily darker."
40992 ""
40992 "High above the sand, a man was falling--much too swiftly."
40992 ""
40992 "The surface of the sand had been shaped into hills by the prevailing"
40992 "winds. These long, ridge-like hills, or dunes, were convex and gradual"
40992 "in slope on their windward sides, but on their lee sides they were"
40992 "concave, and very steep."
40992 ""
40992 "It was near the top of one of these steep slopes that the man landed."
40992 "His frail legs and body crumpled under the weight of his head; he"
40992 "pitched forward, and half rolled, half slid to the bottom where he came"
40992 "to rest more gently, the target of a small avalanche of sand."
40992 ""
40992 "Immediately, he began to struggle; and, failing in his attempts to"
40992 "rise, stretched his slim arms skyward and uttered a sharp, squealing"
40992 "cry, painfully prolonged. Far above him a spherical object rapidly"
40992 "diminished in size. Fixedly he watched the sunlight glinting on its"
40992 "polished grey sides; watched it shrink to a tiny ball, a point, and"
40992 "then--nothing. He was alone."
40992 ""
40992 "The pressure was horrible. He buried his head in the hot sand, and"
40992 "clapped his ears in a vain attempt to ease the throbbing pain. They must"
40992 "have underestimated the weight of the Toonian atmosphere if they had"
40992 "expected him to live long here! It did not hurt his body, but his head"
40992 "was being crushed. He knew that he would soon die--and was glad. This"
40992 "wild, senseless punishment would be at an end."
40992 ""
40992 "He opened his eyes again, and stared in growing fascination and wonder"
40992 "at the great arched blue dome above him. Gradually the spectacle of this"
40992 "weirdly beautiful canopy occupied his whole attention. It was like a"
40992 "soft curtain of light blue material hiding the blackness of the sky and"
40992 "the gleaming stars;--yet the sun shone through. For a moment he forgot"
40992 "his loneliness, his pain, in rapt contemplation of the immense"
40992 "perfection above him--but only for a moment. Then the explanation came"
40992 "to him. That beautiful blue was the heavy atmosphere of Toon, which was"
40992 "slowly crushing him to death! He closed his eyes."
40992 ""
40992 "The heat was terrific, but not as intense as he had expected. Toon was"
40992 "nearer the Sun than was his own world--millions of miles nearer; yet he"
40992 "was not badly burnt, and this puzzled him. The explanation must again"
40992 "lie in the heavy atmosphere--serving as insulation, he finally"
40992 "decided.... He didn't care."
40992 ""
40992 "He felt strangely detached. What signifies life--or death--to a tiny"
40992 "being separated by fifty million miles from any of its kind? Deposited"
40992 "on this strange planet, he had no hopes of survival; his only emotion"
40992 "was astonishment that he had lived a moment."
40992 ""
40992 "He struggled to remove the parachute that had been so inadequate in"
40992 "easing his fall. Movement--even the raising of an arm was serious"
40992 "effort. He was glued to the ground by the tremendous gravitational pull"
40992 "of a planet so much greater in size than his own. He relaxed."
40992 ""
40992 "Why struggle? With the passing of hope, all incentive to effort passes"
40992 "also. He felt no distress at the thought of death. Life, not death,"
40992 "would be freakish in this great wasteland."
40992 ""
40992 "And he was past anger now. What they had done to him they had done"
40992 "through hate and fear. Only hate and fear could conceive of so fantastic"
40992 "a torture for a fellow being. There was no satisfaction now in the"
40992 "knowledge that they had feared him; nor did he care about their hate...."
40992 "They had won. They would have their way, and all the people of the Loten"
40992 "would suffer in consequence...."
40992 ""
40992 "Loten! A wave of sick loneliness swept over him.... A point in the sky,"
40992 "obscured by a weird curtain of blue--his home!"
40992 ""
40992 "       *       *       *       *       *"
40992 ""
40992 "Certainly, no man had ever suffered thus! A surge of self-pity welled up"
40992 "within him. Certainly no being had ever been forced to long for the"
40992 "world--the globe which gave it birth! This horror was reserved for him"
40992 "alone...."
40992 ""
40992 "He clenched his fists. Reason returned to rescue him from emotion. Loten"
40992 "did not exist for him. He was outside of the world--a tiny flame of"
40992 "consciousness in space. And what did that amount to, after all, he asked"
40992 "himself.... What, but Death?..."
40992 ""
40992 "For a long time he lay there in the sand, quite motionless."
40992 ""
40992 "The sun was sinking. Its blazing heat was abating somewhat; its face was"
40992 "large, and red. For miles, across the surface of the sand, the shadows"
40992 "of the dunes were stretching out.... And out of the sunset a tiny speck"
40992 "of black appeared."
40992 ""
40992 "Where he lay the man heard the sound of it--a steady drone, or buzz. At"
40992 "first it did not catch his attention, its inception was so gradual; but"
40992 "soon it became a roar, and he opened his eyes with a start. He had heard"
40992 "no sound since the departure of the space ship--had expected none. An"
40992 "uneasy excitement gripped him. He strained his eyes upward...."
40992 ""
40992 "Suddenly, over the dune against which he lay, there shot a something,"
